Ontology	GO Term	Number	Percentage
All	All	6313	100
Molecular Function	hydrolase activity	869	13.8
Molecular Function	transferase activity	781	12.4
Molecular Function	RNA binding	554	8.8
Molecular Function	protein binding	543	8.6
Molecular Function	DNA binding	466	7.4
Molecular Function	oxidoreductase activity	422	6.7
Molecular Function	transporter activity	418	6.6
Molecular Function	structural molecule activity	255	4.0
Molecular Function	enzyme regulator activity	199	3.2
Molecular Function	triplet codon-amino acid adaptor activity	156	2.5
Molecular Function	peptidase activity	127	2.0
Molecular Function	protein kinase activity	114	1.8
Molecular Function	ligase activity	106	1.7
Molecular Function	lipid binding	102	1.6
Molecular Function	transcription factor activity, protein binding	96	1.5
Molecular Function	phosphatase activity	90	1.4
Molecular Function	helicase activity	89	1.4
Molecular Function	lyase activity	86	1.4
Molecular Function	nucleotidyltransferase activity	85	1.3
Molecular Function	isomerase activity	59	0.9
Molecular Function	signal transducer activity	41	0.6
Molecular Function	motor activity	12	0.2
Molecular Function	translation regulator activity	10	0.2
Cellular Component	cytoplasm	3378	53.5
Cellular Component	nucleus	2171	34.4
Cellular Component	membrane	1395	22.1
Cellular Component	mitochondrion	1011	16.0
Cellular Component	endomembrane system	801	12.7
Cellular Component	plasma membrane	493	7.8
Cellular Component	endoplasmic reticulum	436	6.9
Cellular Component	chromosome	348	5.5
Cellular Component	nucleolus	340	5.4
Cellular Component	mitochondrial envelope	335	5.3
Cellular Component	vacuole	328	5.2
Cellular Component	ribosome	265	4.2
Cellular Component	Golgi apparatus	246	3.9
Cellular Component	cytoskeleton	234	3.7
Cellular Component	site of polarized growth	216	3.4
Cellular Component	extracellular region	185	2.9
Cellular Component	cellular bud	165	2.6
Cellular Component	cell wall	160	2.5
Cellular Component	cell cortex	153	2.4
Cellular Component	microtubule organizing center	108	1.7
Cellular Component	peroxisome	84	1.3
Cellular Component	hyphal tip	48	0.8
Cellular Component	cytoplasmic, membrane-bounded vesicle	2	0.0
Biological Process	regulation of biological process	1370	21.7
Biological Process	transport	1044	16.5
Biological Process	organelle organization	956	15.1
Biological Process	response to stress	830	13.1
Biological Process	RNA metabolic process	783	12.4
Biological Process	response to chemical	721	11.4
Biological Process	filamentous growth	616	9.8
Biological Process	cellular protein modification process	593	9.4
Biological Process	cell cycle	500	7.9
Biological Process	translation	401	6.4
Biological Process	DNA metabolic process	355	5.6
Biological Process	response to drug	354	5.6
Biological Process	ribosome biogenesis	301	4.8
Biological Process	vesicle-mediated transport	297	4.7
Biological Process	lipid metabolic process	276	4.4
Biological Process	pathogenesis	253	4.0
Biological Process	protein catabolic process	209	3.3
Biological Process	carbohydrate metabolic process	201	3.2
Biological Process	signal transduction	192	3.0
Biological Process	cellular homeostasis	179	2.8
Biological Process	cytoskeleton organization	171	2.7
Biological Process	cell wall organization	165	2.6
Biological Process	cell development	147	2.3
Biological Process	biofilm formation	144	2.3
Biological Process	interspecies interaction between organisms	128	2.0
Biological Process	generation of precursor metabolites and energy	127	2.0
Biological Process	hyphal growth	126	2.0
Biological Process	conjugation	103	1.6
Biological Process	cytokinesis	96	1.5
Biological Process	growth of unicellular organism as a thread of attached cells	88	1.4
Biological Process	protein folding	87	1.4
Biological Process	cellular respiration	86	1.4
Biological Process	cell adhesion	62	1.0
Biological Process	nucleus organization	57	0.9
Biological Process	cell budding	45	0.7
Biological Process	pseudohyphal growth	44	0.7
Biological Process	vitamin metabolic process	35	0.6
Biological Process	transposition	3	0.0
