!
!Date: 09/26/2016
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
AAC1	YMR056C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AAC1	YMR056C	viable 	classical genetics	classical genetics	null	SEY6210			Lawson JE and Douglas MG (1988) PMID:2844786
AAC1	YMR056C	viable 	classical genetics	classical genetics	null	W303			Lawson JE and Douglas MG (1988) PMID:2844786
AAC3	YBR085W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AAC3	YBR085W	viable 	classical genetics	classical genetics	null	W303			Kolarov J, et al. (1990) PMID:2165073
AAD10	YJR155W	viable 	classical genetics	classical genetics	null	S288C			Delneri D, et al. (1999) PMID:10572264
AAD14	YNL331C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AAD14	YNL331C	viable 	classical genetics	classical genetics	null	S288C			Ahmed Khan S, et al. (2000) PMID:11113969
AAD14	YNL331C	viable 	classical genetics	classical genetics	null	S288C			Delneri D, et al. (1999) PMID:10572264
AAD15	YOL165C	viable 	classical genetics	classical genetics	null	S288C			Delneri D, et al. (1999) PMID:10572264
AAD3	YCR107W	viable 	classical genetics	classical genetics	null	S288C			Delneri D, et al. (1999) PMID:10572264
AAD4	YDL243C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AAD4	YDL243C	viable 	classical genetics	classical genetics	null	S288C			Delneri D, et al. (1999) PMID:10572264
AAD6	YFL056C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AAD6	YFL056C	viable 	classical genetics	classical genetics	null	S288C			Delneri D, et al. (1999) PMID:10572264
AAH1	YNL141W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AAP1	YHR047C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AAT1	YKL106W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AAT2	YLR027C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
AAT2	YLR027C	viable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null	S288C			Dowell RD, et al. (2010) PMID:20413493
ABF2	YMR072W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ABM1	YJR108W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ABP1	YCR088W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ABP140	YOR239W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ABP140	YOR239W	viable 	classical genetics	classical genetics	null	Other			Niewmierzycka A and Clarke S (1999) PMID:9873020
ABZ1	YNR033W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ABZ2	YMR289W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ACA1	YER045C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ACB1	YGR037C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ACB1	YGR037C	viable 	classical genetics	classical genetics	null	S288C			Rijken PJ, et al. (2009) PMID:19656950
ACE2	YLR131C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ACF2	YLR144C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ACF4	YJR083C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ACH1	YBL015W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ACK1	YDL203C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ACL4	YDR161W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ACM1	YPL267W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ACO1	YLR304C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ACO2	YJL200C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
ACP1	YKL192C	viable 	classical genetics	classical genetics	null	Other			Brody S, et al. (1997) PMID:9187370
