# File name: C_albicans_SC5314_S_cerevisiae_best_hits.txt
# Organism: Candida albicans SC5314
# Genome version: A22-s07-m01-r18
# Date created: Fri Jan 20 11:27:45 2017
# Created by: The Candida Genome Database (http://www.candidagenome.org/)
# Contact Email: candida-curator AT lists DOT stanford DOT edu
# Funding: NIDCR at US NIH, grant number 1-R01-DE015873-01
#
C3_03580C_A	GTT13	CAL0000173921	YIR038C	GTT1	S000001477
C7_04210C_A		CAL0000173937	YGR012W	YGR012W	S000003244
C1_00530C_A		CAL0000174026	YMR275C	BUL1	S000004888
C6_00150W_A	ARD	CAL0000174204	YNL202W	SPS19	S000005146
C1_14350W_A		CAL0000174216	YFR003C	YPI1	S000001899
C3_05460W_A		CAL0000174235	YNL101W	AVT4	S000005045
C3_06190C_A	ALS6	CAL0000174287	YJR004C	SAG1	S000003764
C5_03330C_A	ZCF13	CAL0000174393	YLR256W	HAP1	S000004246
C6_04130C_A	ALS4	CAL0000174423	YJR004C	SAG1	S000003764
CR_10210W_A	PGA12	CAL0000174441	YKL128C	PMU1	S000001611
C2_01380W_A	PLB4.5	CAL0000174502	YOL011W	PLB3	S000005371
C3_07640C_A	FUM12	CAL0000174516	YPL262W	FUM1	S000006183
C1_07030C_A	RBT4	CAL0000174557	YJL078C	PRY3	S000003614
C4_06780C_A	OYE32	CAL0000174577	YPL171C	OYE3	S000006092
CR_10570C_A	YHB4	CAL0000174612	YGR234W	YHB1	S000003466
C1_09250W_A	CRP1	CAL0000174668	YDR270W	CCC2	S000002678
C2_09780C_A		CAL0000174666	YEL001C	IRC22	S000000727
C3_05620W_A	ATO5	CAL0000174804	YCR010C	ADY2	S000000603
C1_11030W_A	RPL82	CAL0000174842	YLL045C	RPL8B	S000003968
C7_04180W_A	FAA2-3	CAL0000174942	YER015W	FAA2	S000000817
C2_06840W_A	SPR1	CAL0000174982	YOR190W	SPR1	S000005716
C1_07570C_A		CAL0000174988	YOL066C	RIB2	S000005427
C4_06990W_A		CAL0000174998	YKL201C	MNN4	S000001684
C3_01090W_A		CAL0000175102	YPL189C-A	COA2	S000028527
C7_01990C_A		CAL0000175120	YIL166C	YIL166C	S000001428
C2_07790C_A		CAL0000175207	YKR043C	SHB17	S000001751
C7_04160W_A		CAL0000175213	YIL166C	YIL166C	S000001428
C6_02250W_A		CAL0000175215	YGL136C	MRM2	S000003104
C6_02830W_A	MNN4-4	CAL0000175223	YKL201C	MNN4	S000001684
C2_02850W_A	UGA6	CAL0000175241	YDL210W	UGA4	S000002369
C2_08690C_A		CAL0000175253	YDR125C	ECM18	S000002532
C3_05270C_A	HGT5	CAL0000175271	YDL194W	SNF3	S000002353
C3_03250W_A		CAL0000175287	YER166W	DNF1	S000000968
C1_09230C_A	GRP1	CAL0000175332	YOL151W	GRE2	S000005511
C2_02980C_A	DLD1	CAL0000175340	YDL174C	DLD1	S000002333
C4_02220C_A	ZCF25	CAL0000175371	YIL130W	ASG1	S000001392
C7_00630C_A		CAL0000175379	YPL265W	DIP5	S000006186
C3_05540C_A		CAL0000175395	YPR112C	MRD1	S000006316
C3_05640W_A		CAL0000175401	YLL057C	JLP1	S000003980
C3_01900C_A		CAL0000175419	YGL023C	PIB2	S000002991
C1_14430C_A		CAL0000175442	YDL124W	YDL124W	S000002282
C1_04020C_A	CSH1	CAL0000175449	YPL088W	YPL088W	S000006009
CR_05020W_A	LYP1	CAL0000175530	YNL268W	LYP1	S000005212
C2_00780W_A	POT1-2	CAL0000175559	YIL160C	POT1	S000001422
CR_01810C_A		CAL0000175595	YOL151W	GRE2	S000005511
CR_07780W_A		CAL0000175635	YER101C	AST2	S000000903
CR_08520C_A		CAL0000175685	YLR390W	ECM19	S000004382
C1_00290W_A	POL93	CAL0000175689	YIL082W-A	YIL082W-A	S000003537
C5_02570W_A	MNN13	CAL0000185691	YNR059W	MNT4	S000005342
CR_06790C_A		CAL0000175721	YAL067C	SEO1	S000000062
C3_03570C_A		CAL0000175763	YLL057C	JLP1	S000003980
C3_05360C_A		CAL0000175783	YBL022C	PIM1	S000000118
C1_11680C_A		CAL0000175803	YNL138W-A	YSF3	S000028509
C1_04010C_A		CAL0000175827	YPL088W	YPL088W	S000006009
C3_01140W_A		CAL0000202048	YCL043C	PDI1	S000000548
CR_07130C_A	ALK8	CAL0000175837	YDR402C	DIT2	S000002810
C2_08850C_A		CAL0000175900	YNL274C	GOR1	S000005218
C4_02660W_A		CAL0000175924	YOR246C	ENV9	S000005772
C6_03140C_A	MDL2	CAL0000176022	YPL270W	MDL2	S000006191
C6_02750C_A	LYS14	CAL0000176046	YDR034C	LYS14	S000002441
CR_01200W_A	OYE22	CAL0000176070	YPL171C	OYE3	S000006092
C6_02010C_A	GPD2	CAL0000176146	YDL022W	GPD1	S000002180
C5_00870C_A	GIT4	CAL0000176164	YCR098C	GIT1	S000000695
CR_09990W_A		CAL0000176188	YGL097W	SRM1	S000003065
C1_01240W_A	IFD3	CAL0000176253	YPL088W	YPL088W	S000006009
C4_00720W_A	CSP2	CAL0000176273	YKL163W	PIR3	S000001646
C7_02420C_A		CAL0000176289	YGR109W-B	YGR109W-B	S000007347
C1_09130W_A		CAL0000176316	YKL201C	MNN4	S000001684
C5_00880C_A	GIT3	CAL0000176352	YCR098C	GIT1	S000000695
C5_02690W_A		CAL0000176391	YLR070C	XYL2	S000004060
C5_04380C_A		CAL0000176450	YGR263C	SAY1	S000003495
C4_06610C_A	SDH12	CAL0000176470	YKL148C	SDH1	S000001631
C7_02220C_A		CAL0000176476	YCR008W	SAT4	S000000601
C4_06970C_A	ZRT1	CAL0000176520	YLR130C	ZRT2	S000004120
CR_01340W_A		CAL0000176540	YNR055C	HOL1	S000005338
C2_08640C_A	PST2	CAL0000176544	YDR032C	PST2	S000002439
C2_07370W_A		CAL0000176598	YMR172W	HOT1	S000004783
C2_08340C_A		CAL0000176606	YDR003W	RCR2	S000002410
CR_07560W_A	RGD3	CAL0000176620	YFL047W	RGD2	S000001847
C3_05980C_A	FAA2	CAL0000176665	YER015W	FAA2	S000000817
C2_06330C_A	AVT1	CAL0000176671	YJR001W	AVT1	S000003761
C3_00890C_A		CAL0000176683	YDR444W	YDR444W	S000002852
C3_04570C_A	DUR35	CAL0000176697	YHL016C	DUR3	S000001008
C4_04330C_A		CAL0000176814	YFL010C	WWM1	S000001884
C4_01050C_A	RPL40B	CAL0000176824	YKR094C	RPL40B	S000001802
C3_01460C_A	FOX3	CAL0000176878	YIL160C	POT1	S000001422
C2_03690C_A		CAL0000176896	YKL201C	MNN4	S000001684
C2_03640W_A	UGA11	CAL0000176906	YGR019W	UGA1	S000003251
C3_06170C_A		CAL0000176999	YHR058C	MED6	S000001100
C4_06910W_A		CAL0000177033	YOL075C	YOL075C	S000005435
C1_11290W_A		CAL0000177129	YPL171C	OYE3	S000006092
CR_01860W_A	OPT9	CAL0000177194	YJL212C	OPT1	S000003748
C3_04160W_A	DAL8	CAL0000177200	YJR152W	DAL5	S000003913
C6_01990W_A	PLB1	CAL0000177213	YOL011W	PLB3	S000005371
