Chromosome,Start,Stop
ref|NC_001133|,11818,11894
ref|NC_001133|,13061,13096
ref|NC_001133|,13884,13937
ref|NC_001133|,23991,24084
ref|NC_001133|,24198,24326
ref|NC_001133|,25226,25261
ref|NC_001133|,25590,25777
ref|NC_001133|,25926,27064
ref|NC_001133|,139839,140067
ref|NC_001133|,140250,140385
ref|NC_001133|,140535,140571
ref|NC_001133|,140721,140955
ref|NC_001133|,160309,161266
ref|NC_001133|,161396,163699
ref|NC_001133|,163849,163964
ref|NC_001133|,164112,166089
ref|NC_001133|,182694,182886
ref|NC_001133|,187525,187689
ref|NC_001133|,188226,188269
ref|NC_001133|,188541,188633
ref|NC_001133|,189158,189170
ref|NC_001133|,203536,203564
ref|NC_001133|,203714,203828
ref|NC_001133|,204307,204975
ref|NC_001133|,205125,205444
ref|NC_001133|,205594,205814
ref|NC_001133|,209273,209290
ref|NC_001133|,209862,209876
ref|NC_001133|,211152,212014
ref|NC_001133|,212286,213562
ref|NC_001133|,213712,213982
ref|NC_001133|,214136,215944
ref|NC_001133|,216094,219177
ref|NC_001133|,219327,219520
ref|NC_001133|,219670,220217
ref|NC_001133|,220709,220730
ref|NC_001133|,220880,221348
ref|NC_001133|,221498,221852
ref|NC_001133|,222002,222179
ref|NC_001133|,222329,222512
ref|NC_001133|,222662,222934
ref|NC_001133|,223077,223089
ref|NC_001133|,223255,223647
ref|NC_001133|,223787,224709
ref|NC_001133|,224906,225024
ref|NC_001133|,225173,225657
ref|NC_001133|,225807,226444
ref|NC_001133|,226594,226629
ref|NC_001134|,1,42
ref|NC_001134|,292,333
ref|NC_001134|,540,1024
ref|NC_001134|,1216,1297
ref|NC_001134|,1447,1557
ref|NC_001134|,2086,4978
ref|NC_001134|,5067,5772
ref|NC_001134|,6354,6365
ref|NC_001134|,7679,7840
ref|NC_001134|,8011,8131
ref|NC_001134|,9164,9351
ref|NC_001134|,29713,29832
ref|NC_001134|,30088,30135
ref|NC_001134|,30285,30392
ref|NC_001134|,30609,30714
ref|NC_001134|,30864,31399
ref|NC_001134|,31549,31981
ref|NC_001134|,32131,32734
ref|NC_001134|,32925,33000
ref|NC_001134|,33286,33556
ref|NC_001134|,33706,33805
ref|NC_001134|,33955,34223
ref|NC_001134|,34373,34429
ref|NC_001134|,34687,35095
ref|NC_001134|,35179,35410
ref|NC_001134|,35923,36149
ref|NC_001134|,88596,88913
ref|NC_001134|,197836,197930
ref|NC_001134|,221108,221216
ref|NC_001134|,221580,222157
ref|NC_001134|,222379,222612
ref|NC_001134|,222762,224702
