Chromosome,Start,Stop
Ca22chr1A_C_albicans_SC5314,43530,43550
Ca22chr1A_C_albicans_SC5314,43676,43761
Ca22chr1A_C_albicans_SC5314,449206,452060
Ca22chr1A_C_albicans_SC5314,468058,468064
Ca22chr1A_C_albicans_SC5314,483662,483666
Ca22chr1A_C_albicans_SC5314,842209,842281
Ca22chr1A_C_albicans_SC5314,1255376,1255399
Ca22chr1A_C_albicans_SC5314,1255814,1255858
Ca22chr1A_C_albicans_SC5314,1291714,1291718
Ca22chr1A_C_albicans_SC5314,1294258,1294313
Ca22chr1A_C_albicans_SC5314,1304200,1304225
Ca22chr1A_C_albicans_SC5314,1304503,1304512
Ca22chr1A_C_albicans_SC5314,1304674,1304722
Ca22chr1A_C_albicans_SC5314,1304871,1304902
Ca22chr1A_C_albicans_SC5314,1305004,1305015
Ca22chr1A_C_albicans_SC5314,1305459,1305494
Ca22chr1A_C_albicans_SC5314,1305559,1305576
Ca22chr1A_C_albicans_SC5314,1305762,1305825
Ca22chr1A_C_albicans_SC5314,1307989,1307990
Ca22chr1A_C_albicans_SC5314,1325870,1326025
Ca22chr1A_C_albicans_SC5314,1337310,1337386
Ca22chr1A_C_albicans_SC5314,1593113,1593114
Ca22chr1A_C_albicans_SC5314,1641344,1641357
Ca22chr1A_C_albicans_SC5314,1656662,1656897
Ca22chr1A_C_albicans_SC5314,1681391,1681429
Ca22chr1A_C_albicans_SC5314,1691865,1691872
Ca22chr1A_C_albicans_SC5314,1692929,1692934
Ca22chr1A_C_albicans_SC5314,1693208,1693228
Ca22chr1A_C_albicans_SC5314,1693342,1693395
Ca22chr1A_C_albicans_SC5314,1739420,1739423
Ca22chr1A_C_albicans_SC5314,1935651,1935654
Ca22chr1A_C_albicans_SC5314,1935819,1935826
Ca22chr1A_C_albicans_SC5314,1935899,1935899
Ca22chr1A_C_albicans_SC5314,2223348,2223392
Ca22chr1A_C_albicans_SC5314,2333959,2334004
Ca22chr2A_C_albicans_SC5314,216679,216705
Ca22chr2A_C_albicans_SC5314,345343,345366
Ca22chr2A_C_albicans_SC5314,496320,496366
Ca22chr2A_C_albicans_SC5314,525860,525866
Ca22chr2A_C_albicans_SC5314,532487,532491
Ca22chr2A_C_albicans_SC5314,533420,533746
Ca22chr2A_C_albicans_SC5314,533806,533910
Ca22chr2A_C_albicans_SC5314,533972,533989
Ca22chr2A_C_albicans_SC5314,534032,534871
