Chromosome,Start,Stop
I,1,5320
I,5400,5688
I,5768,6277
I,6398,6615
I,6695,6872
I,6952,7676
I,7750,10073
I,10146,11244
I,11324,12406
I,12518,12656
I,15872,16568
I,16648,16922
I,16988,18064
I,18139,18178
I,18258,18450
I,18571,19329
I,19405,19898
I,19966,20528
I,20608,20642
I,20711,20774
I,20854,21832
I,22483,22591
I,22666,23043
I,23166,23742
I,23822,24327
I,24407,25672
I,25752,26919
I,26999,27144
I,27224,27371
I,27446,28199
I,28279,29622
I,29667,30960
I,31039,31454
I,31625,31839
I,31886,32698
I,32778,32796
I,33063,33572
I,33652,34077
I,34157,34276
I,34353,35202
I,35278,35421
I,35500,35593
I,35673,35702
I,35842,36313
I,36528,37898
I,37970,38479
I,38556,39199
I,39279,39356
I,39429,39971
I,40050,41172
I,41252,41750
I,41810,41836
I,41897,42500
I,42580,43317
I,43385,49237
I,55319,57378
I,59853,60047
I,60127,60162
I,60242,60266
I,83830,83991
I,97384,97811
I,97890,98317
I,98679,98737
I,99106,99164
I,149692,149748
I,397057,397164
I,456565,456606
I,617533,617554
I,987897,987908
I,1004928,1005079
I,1005159,1005171
I,1096460,1096516
I,1265845,1266115
I,1266231,1267253
I,1267333,1267406
I,1267486,1268466
I,1268548,1271715
I,1465370,1470211
I,1563852,1564136
I,1564216,1568695
I,1756460,1757229
I,1847352,1847410
I,1857065,1857233
I,1857281,1857525
I,1857686,1857849
I,1942248,1942306
I,2012124,2012165
I,2012245,2012312
I,2437626,2437887
I,2474285,2474547
I,2684722,2684736
I,2854095,2854347
I,2907746,2907880
I,2907960,2908468
I,2908548,2908984
I,2909064,2909542
I,2909622,2909641
I,2909721,2910148
I,2926840,2931683
I,2939750,2940023
I,2940096,2940192
I,2940270,2940637
I,2940717,2942255
I,2942875,2942975
I,2943022,2943818
I,2943865,2944016
I,2944081,2944268
I,2944753,2944808
I,2944969,2945024
I,2976853,2976914
I,3043492,3043618
I,3043698,3043735
I,3047707,3047729
I,3086339,3086363
I,3108609,3108664
I,3165428,3165487
I,3190990,3191037
I,3191156,3191276
I,3238091,3238146
I,3321541,3321742
I,3361182,3366028
I,3399784,3399800
I,3436503,3436525
I,3496525,3496597
I,3496677,3496717
I,3496797,3496837
I,3634401,3634465
I,3655621,3655661
I,3655741,3655781
I,3655861,3655933
I,3744245,3744312
I,3744434,3744504
I,3744707,3744774
I,3752627,3754827
I,3754906,3756233
I,3756402,3757987
I,3758067,3759204
I,3759274,3760962
I,3761042,3761132
I,3761228,3761240
I,3761320,3761547
I,3761605,3761770
I,3761833,3763463
I,3763575,3764754
I,3764834,3769038
I,3769608,3772234
I,3772391,3772816
I,3773235,3777439
I,3777519,3778328
I,3778408,3779659
I,3779884,3780661
I,3780740,3780965
I,3781088,3782999
I,3783070,3785847
I,3785919,3786013
I,3786063,3786784
I,3786865,3787097
I,3787144,3790481
I,3830410,3830470
I,3891703,3891749
I,3983335,3983449
I,3983512,3983598
I,3983740,3983764
I,3983996,3984033
I,3984158,3984195
I,3984293,3984360
I,3984461,3984566
I,3984657,3984737
I,3988727,3988975
I,3989069,3989278
I,3996062,4000903
I,4022014,4026858
I,4063356,4063375
I,4063569,4063639
I,4063686,4063828
I,4079497,4079511
I,4079659,4079673
I,4095250,4095299
I,4095379,4095527
I,4095607,4096091
I,4096171,4096382
I,4096462,4096475
I,4140573,4140687
I,4140760,4140803
I,4184379,4184454
I,4240885,4240949
I,4265253,4265287
I,4316624,4316643
I,4316870,4316895
I,4317082,4317137
I,4317190,4317245
I,4523704,4526685
I,4526741,4529722
I,4715828,4716083
I,4897545,4897830
I,4905429,4908596
I,4908678,4909658
I,4909738,4909811
I,4909891,4910913
I,4917219,4917231
I,4917871,4918640
I,4939660,4939703
I,4939866,4939880
I,4941757,4942033
I,5021597,5021613
I,5021693,5021825
I,5064534,5064750
I,5064830,5065177
I,5065282,5065356
I,5175917,5175931
I,5175994,5176190
I,5190780,5200190
I,5325186,5325203
I,5325279,5325449
I,5437785,5437798
I,5535363,5535562
I,5535648,5536136
I,5556217,5556241
I,5556321,5556356
I,5556436,5556630
I,5559410,5562153
I,5562331,5562396
I,5562518,5562949
I,5563076,5563507
I,5563587,5564817
I,5564951,5566167
I,5566247,5566488
I,5566568,5567320
I,5567400,5567912
I,5568095,5568437
I,5568517,5568638
I,5568719,5569519
I,5569619,5570081
I,5570161,5570383
I,5570463,5570806
I,5570863,5571261
I,5571314,5571425
I,5571566,5571656
I,5571727,5571997
I,5572061,5573087
I,5573167,5573646
I,5573716,5579133
II,1,10965
II,11045,11307
II,11387,12073
II,12151,14818
II,14898,15815
II,15870,15897
II,15977,17234
II,17314,17782
II,17860,18013
II,18182,19694
II,19774,20531
II,20611,21384
II,21464,21962
II,22024,22050
II,22119,22722
II,22802,23539
II,23597,29449
II,36942,37010
II,54681,56740
II,76483,76682
II,76768,77256
