Systematic name 1	Systematic name 2	Pair is WGD	Pair is SL (NaN indicates pair was not screened)
YAL007C	YOR016C	1	0
YAL023C	YOR321W	1	1
YAL029C	YOR326W	1	0
YAL030W	YOR327C	1	0
YAL038W	YOR347C	1	0
YAL051W	YOR363C	1	0
YAL053W	YOR365C	1	0
YAL056W	YOR371C	1	0
YAL062W	YOR375C	1	0
YAR002C-A	YGL002W	1	NaN
YBL005W	YGL013C	1	0
YBL009W	YGL021W	1	0
YBL027W	YBR084C-A	1	0
YBL030C	YBR085W	1	NaN
YBL039C	YJR103W	1	1
YBL054W	YER088C	1	NaN
YBL056W	YER089C	1	0
YBL067C	YER098W	1	0
YBL068W	YER099C	1	0
YBL069W	YER101C	1	0
YBL072C	YER102W	1	1
YBL075C	YER103W	1	NaN
YBL079W	YER105C	1	NaN
YBL087C	YER117W	1	1
YBL089W	YER119C	1	0
YBL101C	YPR030W	1	0
YBL106C	YPR032W	1	1
YBR001C	YDR001C	1	0
YBR005W	YDR003W	1	0
YBR020W	YDR009W	1	0
YBR024W	YBR037C	1	0
YBR031W	YDR012W	1	1
YBR042C	YDR018C	1	0
YBR048W	YDR025W	1	0
YBR052C	YDR032C	1	0
YBR054W	YDR033W	1	0
YBR066C	YDR043C	1	0
YBR068C	YDR046C	1	0
YBR082C	YDR059C	1	1
YBR104W	YPR058W	1	0
YBR117C	YPR074C	1	1
YBR118W	YPR080W	1	1
YBR121C	YPR081C	1	NaN
YBR145W	YOL086C	1	0
YBR147W	YOL092W	1	0
YBR161W	YPL057C	1	1
YBR169C	YPL106C	1	1
YBR177C	YPL095C	1	0
YBR181C	YPL090C	1	1
YBR183W	YPL087W	1	0
YBR189W	YPL081W	1	NaN
YBR191W	YPL079W	1	0
YBR210W	YGL054C	1	1
YBR216C	YGL060W	1	0
YBR218C	YGL062W	1	1
YBR238C	YGL107C	1	NaN
YBR241C	YGL104C	1	0
YBR242W	YGL101W	1	0
YBR270C	YJL058C	1	0
YCL025C	YDR508C	1	1
YCL040W	YDR516C	1	NaN
YCL043C	YDR518W	1	NaN
YCL048W	YDR522C	1	0
YCL050C	YDR530C	1	0
YCL073C	YKR106W	1	NaN
YCR005C	YNR001C	1	0
YCR010C	YNR002C	1	0
YCR031C	YJL191W	1	1
YCR034W	YJL196C	1	0
YCR037C	YJL198W	1	0
YCR048W	YNR019W	1	0
YCR069W	YNR028W	1	0
YCR073C	YNR031C	1	0
YCR073W-A	YNR034W	1	0
YCR094W	YNR048W	1	0
YDL021W	YOL056W	1	NaN
YDL022W	YOL059W	1	0
YDL042C	YOL068C	1	NaN
YDL061C	YLR388W	1	1
YDL075W	YLR406C	1	NaN
YDL082W	YMR142C	1	NaN
YDL083C	YMR143W	1	1
YDL085W	YMR145C	1	0
YDL109C	YGL144C	1	0
YDL131W	YDL182W	1	0
YDL134C	YDL188C	1	0
YDL136W	YDL191W	1	0
YDL137W	YDL192W	1	0
YDL175C	YIL079C	1	1
YDL214C	YNL183C	1	0
YDL222C	YNL194C	1	0
YDL224C	YNL197C	1	1
YDL226C	YNL204C	1	0
YDL229W	YNL209W	1	1
YDR093W	YER166W	1	0
YDR098C	YER174C	1	1
YDR099W	YER177W	1	1
YDR107C	YLR083C	1	0
YDR111C	YLR089C	1	0
YDR122W	YLR096W	1	0
YDR125C	YLR099C	1	0
YDR132C	YLR108C	1	0
YDR144C	YLR120C	1	0
YDR147W	YLR133W	1	0
YDR178W	YLR164W	1	0
YDR222W	YLR225C	1	0
YDR252W	YPL037C	1	0
YDR253C	YPL038W	1	1
YDR264C	YOR034C	1	0
YDR272W	YOR040W	1	0
YDR277C	YOR047C	1	0
YDR300C	YHR033W	1	NaN
YDR304C	YHR057C	1	0
YDR312W	YHR066W	1	1
YDR326C	YHR080C	1	0
YDR341C	YHR091C	1	NaN
YDR342C	YHR092C	1	NaN
YDR343C	YHR094C	1	NaN
YDR345C	YHR096C	1	NaN
YDR348C	YHR097C	1	0
YDR353W	YHR106W	1	NaN
YDR358W	YHR108W	1	1
YDR368W	YOR120W	1	0
YDR379W	YOR127W	1	0
YDR385W	YOR133W	1	1
YDR406W	YOR153W	1	0
YDR436W	YML016C	1	1
YDR438W	YML018C	1	0
YDR441C	YML022W	1	0
YDR447C	YML024W	1	1
YDR450W	YML026C	1	1
YDR451C	YML027W	1	0
YDR453C	YML028W	1	0
YDR463W	YHR006W	1	1
YDR471W	YHR010W	1	NaN
YDR483W	YPL053C	1	0
YDR497C	YOL103W	1	1
YDR500C	YLR185W	1	1
YDR501W	YLR183C	1	0
YDR502C	YLR180W	1	1
YEL022W	YJR031C	1	NaN
YEL030W	YJR045C	1	NaN
YEL034W	YJR047C	1	0
YEL039C	YJR048W	1	NaN
YEL047C	YJR051W	1	0
YEL063C	YNL270C	1	NaN
YER027C	YGL208W	1	0
YER031C	YGL210W	1	1
YER037W	YGL224C	1	0
YER054C	YIL045W	1	0
YER057C	YIL051C	1	NaN
YER062C	YIL053W	1	1
YER067W	YIL057C	1	0
YER070W	YIL066C	1	NaN
YER074W	YIL069C	1	1
YER081W	YIL074C	1	0
YER131W	YGL189C	1	1
YFL004W	YPL019C	1	0
YFL018C	YPL017C	1	NaN
YFL034C-A	YLR061W	1	0
YFL048C	YLR080W	1	0
YFL059W	YNL333W	1	NaN
YFL060C	YNL334C	1	NaN
YFR015C	YLR258W	1	0
YFR022W	YOR018W	1	0
YFR023W	YHR015W	1	0
YFR024C-A	YHR016C	1	0
YFR031C-A	YIL018W	1	0
YFR053C	YGL253W	1	1
YGL031C	YGR148C	1	1
YGL049C	YGR162W	1	NaN
YGL076C	YPL198W	1	NaN
YGL082W	YPL191C	1	0
YGL084C	YPL189W	1	0
YGL134W	YPL219W	1	0
YGL135W	YPL220W	1	NaN
YGL139W	YPL221W	1	0
YGR008C	YLR327C	1	0
YGR010W	YLR328W	1	1
YGR032W	YLR342W	1	1
YGR034W	YLR344W	1	0
YGR038W	YLR350W	1	NaN
YGR043C	YLR354C	1	0
YGR056W	YLR357W	1	NaN
YGR085C	YPR102C	1	NaN
YGR092W	YPR111W	1	1
YGR097W	YPR115W	1	0
YGR108W	YPR119W	1	1
YGR109C	YPR120C	1	0
YGR118W	YPR132W	1	NaN
YGR121C	YPR138C	1	0
YGR124W	YPR145W	1	0
YGR131W	YPR149W	1	0
YGR138C	YPR156C	1	0
YGR141W	YPR157W	1	0
YGR143W	YPR159W	1	NaN
YGR180C	YJL026W	1	NaN
YGR192C	YJR009C	1	1
YGR209C	YLR043C	1	1
YGR213C	YLR046C	1	0
YGR214W	YLR048W	1	1
YGR241C	YHR161C	1	NaN
YGR248W	YHR163W	1	0
YGR254W	YHR174W	1	1
YGR256W	YHR183W	1	NaN
YGR273C	YMR295C	1	0
YGR283C	YMR310C	1	0
YHL001W	YKL006W	1	NaN
YHL003C	YKL008C	1	1
